,pc_brand,pc_model,elt_condition,elt_warranty (tháng),desktop_screen_size (inch),pc_cpu,pc_ram (GB),pc_vga,pc_drive_capacity (GB),elt_origin,classify,price
138,desktop,desktop,Mới,12,21,Intel Core i5,8.0,Onboard,128,Việt Nam,desktop,4.000.000 đ
139,desktop,desktop,Đã sử dụng (chưa sửa chữa),1,18,Intel Core i3,8.0,Onboard,128,Nước khác,desktop,2.500.000 đ
140,desktop,desktop,Đã sử dụng (chưa sửa chữa),1,0,Intel Core i7,8.0,Onboard,256,Nước khác,desktop,990.000 đ
141,desktop,desktop,Đã sử dụng (chưa sửa chữa),12,21,Intel Core i5,8.0,AMD,128,Nước khác,desktop,7.500.000 đ
142,desktop,desktop,Đã sử dụng (chưa sửa chữa),3,0,Intel Core i5,8.0,Onboard,256,Nhật Bản,desktop,1.450.000 đ
143,desktop,desktop,Đã sử dụng (chưa sửa chữa),1,0,Intel Core i3,8.0,Onboard,128,Hàn Quốc,desktop,1.600.000 đ
144,desktop,desktop,Đã sử dụng (chưa sửa chữa),0,0,Intel Xeon,16.0,NVIDIA,250,Nước khác,desktop,6.500.000 đ
145,desktop,desktop,Đã sử dụng (chưa sửa chữa),0,21,Intel Core i3,16.0,Onboard,512,Nước khác,desktop,3.700.000 đ
146,desktop,desktop,Đã sử dụng (chưa sửa chữa),0,21,Intel Core i3,8.0,Onboard,500,Việt Nam,desktop,7.900.000 đ
147,desktop,desktop,Đã sử dụng (chưa sửa chữa),1,0,Intel Core i5,16.0,Onboard,512,Nước khác,desktop,9.000.000 đ
148,desktop,desktop,Đã sử dụng (chưa sửa chữa),0,21,Intel Core i5,8.0,Onboard,250,Nước khác,desktop,4.000.000 đ
149,desktop,desktop,Đã sử dụng (qua sửa chữa),3,0,Intel Core i5,8.0,Onboard,256,Nhật Bản,desktop,1.500.000 đ
150,desktop,desktop,Đã sử dụng (chưa sửa chữa),0,20,Intel Core i3,8.0,Onboard,128,Việt Nam,desktop,1.750.000 đ
151,desktop,desktop,Đã sử dụng (chưa sửa chữa),0,21,Intel Core i3,8.0,NVIDIA,128,Việt Nam,desktop,2.500.000 đ
152,desktop,desktop,Đã sử dụng (chưa sửa chữa),3,0,Intel Core i5,8.0,Onboard,250,Mỹ,desktop,3.400.000 đ
153,desktop,desktop,Đã sử dụng (chưa sửa chữa),0,0,Intel Celeron,4.0,Onboard,128,Nước khác,desktop,1.200.000 đ
154,desktop,desktop,Đã sử dụng (chưa sửa chữa),1,20,Intel Core i5,16.0,NVIDIA,128,Việt Nam,desktop,3.190.000 đ
155,desktop,desktop,Đã sử dụng (chưa sửa chữa),12,0,Intel Xeon,32.0,AMD,512,Việt Nam,desktop,6.000.000 đ
156,desktop,desktop,Đã sử dụng (qua sửa chữa),1,21,Intel Core i5,16.0,NVIDIA,256,Mỹ,desktop,5.490.000 đ
157,desktop,desktop,Đã sử dụng (chưa sửa chữa),1,21,Intel Xeon,32.0,AMD,500,Mỹ,desktop,7.000.000 đ
158,desktop,desktop,Đã sử dụng (chưa sửa chữa),0,0,Intel Core i5,8.0,NVIDIA,256,Việt Nam,desktop,4.300.000 đ
159,desktop,desktop,Đã sử dụng (chưa sửa chữa),1,21,Intel Xeon,16.0,AMD,256,Đức,desktop,4.200.000 đ
160,desktop,desktop,Đã sử dụng (chưa sửa chữa),3,21,Intel Core i5,16.0,NVIDIA,256,Việt Nam,desktop,4.900.000 đ
161,desktop,desktop,Đã sử dụng (chưa sửa chữa),1,21,Intel Core i5,8.0,NVIDIA,256,Mỹ,desktop,4.490.000 đ
162,desktop,desktop,Đã sử dụng (chưa sửa chữa),0,0,Intel Xeon,32.0,NVIDIA,500,Việt Nam,desktop,6.900.000 đ
163,desktop,desktop,Mới,12,21,Intel Core i5,8.0,NVIDIA,256,Việt Nam,desktop,3.500.000 đ
164,desktop,desktop,Mới,12,21,Intel Core i5,8.0,NVIDIA,256,Việt Nam,desktop,3.800.000 đ
165,desktop,desktop,Đã sử dụng (chưa sửa chữa),1,21,Intel Core i5,16.0,NVIDIA,250,Mỹ,desktop,5.490.000 đ
166,desktop,desktop,Đã sử dụng (chưa sửa chữa),0,0,Intel Core i3,8.0,Onboard,256,Nước khác,desktop,2.600.000 đ
167,desktop,desktop,Mới,12,21,Intel Core i5,8.0,NVIDIA,128,Việt Nam,desktop,3.200.000 đ
168,desktop,desktop,Mới,12,21,Intel Core i5,8.0,NVIDIA,128,Việt Nam,desktop,3.500.000 đ
169,desktop,desktop,Đã sử dụng (chưa sửa chữa),3,21,Intel Core i3,8.0,NVIDIA,256,Nước khác,desktop,7.500.000 đ
170,desktop,desktop,Đã sử dụng (chưa sửa chữa),0,0,Intel Core i3,16.0,Onboard,1000,Nước khác,desktop,1.900.000 đ
171,desktop,desktop,Đã sử dụng (chưa sửa chữa),1,21,Intel Core i3,4.0,Onboard,120,Nhật Bản,desktop,3.200.000 đ
172,desktop,desktop,Đã sử dụng (chưa sửa chữa),0,0,Intel Core i5,32.0,NVIDIA,500,Nước khác,desktop,18.900.000 đ
173,desktop,desktop,Mới,9,0,Intel Core i5,8.0,Onboard,128,Mỹ,desktop,2.500.000 đ
174,desktop,desktop,Đã sử dụng (chưa sửa chữa),1,0,Intel Core i3,8.0,NVIDIA,256,Nước khác,desktop,8.000.000 đ
175,desktop,desktop,Mới,12,21,Intel Core i5,8.0,Onboard,256,Nước khác,desktop,5.500.000 đ
176,desktop,desktop,Đã sử dụng (chưa sửa chữa),3,20,Intel Core i5,4.0,Onboard,128,Nhật Bản,desktop,2.600.000 đ
177,desktop,desktop,Mới,0,21,Intel Core i7,16.0,NVIDIA,256,Việt Nam,desktop,8.990.000 đ
178,desktop,desktop,Mới,12,21,Intel Core i3,8.0,Onboard,128,Việt Nam,desktop,5.000.000 đ
179,desktop,desktop,Đã sử dụng (chưa sửa chữa),1,0,Intel Xeon,32.0,NVIDIA,128,Việt Nam,desktop,4.500.000 đ
180,desktop,desktop,Đã sử dụng (chưa sửa chữa),2,20,Intel Core i5,8.0,Onboard,128,Nước khác,desktop,2.500.000 đ
181,desktop,desktop,Đã sử dụng (chưa sửa chữa),3,0,Intel Core i7,8.0,NVIDIA,128,Nước khác,desktop,5.900.000 đ
182,desktop,desktop,Đã sử dụng (chưa sửa chữa),3,21,Intel Core i7,16.0,AMD,128,Nước khác,desktop,4.500.000 đ
183,desktop,desktop,Đã sử dụng (qua sửa chữa),0,0,Intel Core i5,8.0,Onboard,128,Nước khác,desktop,2.300.000 đ
184,desktop,desktop,Đã sử dụng (chưa sửa chữa),0,0,Intel Xeon,32.0,AMD,256,Nước khác,desktop,7.700.000 đ
185,desktop,desktop,Đã sử dụng (chưa sửa chữa),1,21,Intel Core i7,8.0,NVIDIA,128,Mỹ,desktop,3.300.000 đ
186,desktop,desktop,Đã sử dụng (chưa sửa chữa),1,0,Intel Core i7,16.0,NVIDIA,512,Mỹ,desktop,8.900.000 đ
